id,ma_khach_hang,noi_dung_binh_luan,ngay_binh_luan,gio_binh_luan,so_sao,ma_san_pham
13,2027,"Mình khum đánh giá cao cái vụ nâng tông trắng da lắm, chỉ chỉnh được khoảng nửa-1 tông thôi. nhưng vừa chống nắng vừa làm kem lót thì phê nha, hợp mấy kiểu make up no make up đồ đó, đi học đi chơi tự nhiên không có bị dày & nặng mặt",24/10/2022,18:02,5,249500019
14,2928,"dù là hay được so sánh với BNBG nhma mình thấy con này cấp ẩm không tốt bằng BNBG nhưng vẫn rất tốt trong tầm giá, với mình da dầu thì da đủ ẩm và thoải mái sau mấy ngày treat. 13k cho một cái mặt nạ thì không cần bàn cãi, 10/10",27/03/2024,22:14,5,422209718
15,3059,"Miếng bông quá mỏng. thấm có chút nước tẩy trang/toner là bông bị nhũn liền, lau lên mặt là bị tưa ra. Nên mua sản phẩm khác để đáp ứng nhu cầu tốt hơn.",19/12/2020,7:52,2,413400001
16,1118,"Xài tốt, tẩy trang sạch, mình xài thấy thích hơn nhiều so với nước tẩy trang của Loreal và Innisfree, không có mùi hoá học, da không bị châm chích. Mình xài chỉ kẻ mày lâu trôi nhưng chỉ cần chùi qua một hai lần là sạch rồi. Để lợi hơn mọi người có thể mua chung với gel rửa mặt",22/06/2021,9:30,5,422204884
17,2273,Hơi bết và trắng quá,17/12/2022,11:20,4,422208183
18,736,sản phẩm tốt,5/12/2022,15:52,5,100230056
19,731,"Mua chai thứ 4 5 gì rồi, đúng kiểu tiền nào của nấy, xài ok hơn nhiều, mà dùng tẩy trang hàng ngày nên hơi hao",4/3/2023,19:08,5,100230056
20,4234,"rít mặt nên đắp xomg phải lau lại rôid dùng dưỡng sau đó. tuy nhiên mask khá tốt, đắp xong ko bị kích ứng gì cả...",17/07/2023,23:05,4,422205637
21,2696,quá ok luôn,18/08/2019,23:21,5,422203776
22,1806,Shop ban hang ok,8/12/2016,7:54,5,422216098
23,1281,"mình thấy ok, đúng là tiền nào của nấy",11/10/2021,12:13,5,204900005
24,3417,"mùi tự nhiên, có hạt nhẹ, không rát, không kích ứng (da mình khá mỏng). Nhìn chung xài ok, nên thử. Tuýp 30g bé tí teo í, phải hỏi bạn nv lấy giùm chứ tìm mỏi mắt ko thấy",30/06/2022,22:32,5,351700026
25,1268,"440k mà 400ml . Dùng sạch mà bản mới không bị khô , đã , sạch dầu",18/09/2024,12:03,5,204900056
26,1360,"Trời ơi tui stress vì làn da luôn xài cái này hiệu quả trông thấy nha mấy bà, 10 điểm cho sản phẩm",3/7/2024,8:06,5,422208328
27,2255,"theo quan điểm của mình, sản phẩm có dung tích lớn giá lại rẻ, hợp với các bạn học sinh sinh viên chưa có quá nhiều vấn đề trên da chỉ đơn giản là muốn làm sạch, sản phẩm sẽ có mùi rất thơm nên bạn nào nhạy cảm với hương liệu thì nên cân nhắc, ngoài ra sữa rửa mặt này cũng tạo bọt rất mịn",12/10/2021,21:48,5,357100011
28,2450,,15/04/2020,8:49,5,308500037
29,2647,"Bông cũng được, nhưng cái viền sắc quá hay làm rát mặt, dễ xước mặt nên không mua lại",15/02/2022,14:41,2,422203300
30,3508,"hàng chuẩn giao hàng nhanh, đắp rất thích da mướt mịn hẳn",1/10/2021,4:50,5,386000044
31,2484,"đã dùng qua nhiều loại kem chống nắng nhưng ưng nhất là loại này, kem tệp với màu da, dễ tán đều và không bị trôi khi đổ mồ hôi",10/3/2022,16:20,5,422204388
32,4003,"Mới dùng ngày đầu tiên, thấy da ráo dầu mà không bị khô da. Nhìn da mặt sạch hơn hẳn so với dùng sản phẩm cũ.",31/05/2022,13:52,5,422205673
33,3626,"da nhạy cảm, da hỗn hợp thiên khô xài êm ko kích ứng ạ có nâng tone một chút nhưng tự nhiên kem mỏng nhẹ ko nặng mặt hay cay mắt",30/10/2024,17:25,5,343100024
34,3176,Hài lòng . dưỡng da tốt .,10/7/2020,22:49,5,345800001
35,2405,SẢN PHẨM OK NHA AD,26/04/2023,18:41,5,308500018
36,681,"Mùi hương rất dễ chịu, làm mát da nhanh, giá thành hợp lý",30/04/2023,15:02,5,204100019
37,319,"Mới vào hsk mua mà về thấy kiểu bị tách nước sao á, loại này chỉ thời tiết lạnh dùng ổn cho da dầu mụn như mình, xài mấy típ, cũng quây về vs nó dưỡng da ổn",7/7/2024,23:26,4,422204167
38,2416,,22/12/2021,21:28,5,308500013
39,132,"Bông tốt , đường viền chắn chắn, không bi xơ hay tưa bông,bông mềm mịn .",25/05/2023,11:14,5,422212331
40,2723,"Dạng sữa thắm hơi lâu và rất rất rất là cay luôn ,tuy đã rửa mặt nhưng vẫn còn rất cay, ngày nào xài cũng bị vậy",9/6/2023,13:34,3,248700035
41,2450,,15/04/2020,8:49,5,308500015
42,575,"Mình đã dùng thử và cực cực cực kì hài lòng với sản phẩm Chống nắng tốt, nâng tông và không gây khó chịu cho làn da Mình là da khô hơi nhạy cảm dễ lên mụn nhưng thấy sử dụng rất tốt",29/05/2024,9:02,5,253900006
43,2887,"Mình đã sử dụng liên tục sản phẩm này trong vòng hơn 1 tháng gần qua 2 tháng rồi thì mình quan sát kĩ thấy nền da mình có cải thiện rõ rệt về chân nám mờ dần đi hẳn luôn. Texture lỏng nhẹ, thoa là thấm cực kì nhanh, nhẹ da nữa, cho nên mình cực kì thích luôn. Packaging thủy tinh, nặng tay, thông tin đầy đủ, khá chi tiết nên đây là điểm cộng. Đánh giá: 9/10, 1 điểm trừ ở việc khá hao hị hị, đối với các bạn yêu thích dưỡng trắng và có tình trạng thâm nám nhẹ thì dùng thường xuyên sẽ hết hẳn luôn",25/01/2021,13:49,5,422202580
44,677,Mình rất thích Hasaki và sản phẩm tẩy trang này,3/5/2023,18:31,5,200400004
45,2085,,22/12/2023,11:42,5,207500001
46,2344,"SỬ DỤNG DỄ DÀNG, RẤT THOẢI MÁI, THƯ GIÃN TỘT ĐỘ.",1/5/2023,20:04,5,308500004
47,2893,"Sản phẩm bao bì đẹp, thấm nhanh, mình tông da khó trắng dùng gần 1 lọ lên tông hẳn luôn, đều màu hơn rõ, kèm theo dễ thoa dễ dùng, cấp ẩm tốt",1/2/2021,13:41,5,422202580
48,182,"tẩy trang tốt, nhưng quà tặng không có kèm theo, để chưng z thôi",28/05/2022,14:22,4,422204259
49,3810,đây là lọ kem dưỡng ẩm mà tui xài hết cả hủ....kem thấm đã ghê,14/05/2024,8:44,5,422209048
50,1637,"Mình da khô, tuy nhiên dùng vichy dưỡng ẫm serum bình thường nhưng vẫn rất dễ tán hơn rất nhiều so vs laroch bản cũ. Kem nâng tông chắc tầm nửa tông thôi. Mình da khô bôi thấy da vẫn hơi ẩm k bị khô căng như martiderm",24/07/2024,11:32,5,100160022
51,706,Mình rất thích hasaki và sản phẩm tẩy trang này,28/04/2023,18:32,5,100230064
52,414,"Mình thấy có số công bố bộ y tế trên sản phẩm nhưng click vào thì không có, cái này hasaki có thể gửi mình tham khảo về sản phẩm chính hãng được không ạ?",30/03/2023,13:04,5,422208976
53,322,,19/09/2020,19:56,5,422211446
54,441,Lần truóc dùng ổn lắm mà lần này mùi cồn nồng nặc lun á,12/11/2022,10:11,4,249500027
55,1469,hợp với dầu nhưng mắc quá,5/1/2022,1:03,4,204900056
56,380,"Bản thân tui có da dầu nhạy cảm rất dễ nổi mụn nên mình rất kén trong việc lựa chọn mỹ phẩm, đặc biệt là các sản phẩm làm sạch. Sữa rửa mặt Cerave Foaming có bảng thành phần lành tính, độ pH lý tưởng, khả năng làm sạch nhẹ nhàng mà vẫn rất hiệu quả, do đó, mình đã thử sử dụng và cảm thấy rất thích. Sản phẩm này đã trở thành item không thể thiếu trong quy trình chăm sóc da của mình”. Thấy đi đâu bác sĩ cũng khuyên dùng.",22/04/2024,15:21,5,422208976
57,2019,"Mua lần thứ 2 em chống nắng này rồi ,giá bình dân ,dễ tán nâng toner nhẹ thôi nhưng tự nhiên rất đáng mua nha",20/11/2022,17:14,5,249500019
58,777,"e này thì OK khỏi bàn, Thích nhất dịch vụ của giao hàng của hasaki, dù dịch như giao hàng ở tỉnh khá nhanh.",20/09/2021,16:36,5,100230057
59,787,Em này dùng cực thích dịu nhẹ. Nhưng chỉ hợp với tẩy trang mỏng nhẹ. Nhưng bạn nào make up dày và lì thì nhớ tẩy trang thật kĩ nha,22/06/2021,8:29,5,100230057
60,2528,"sản phẩm cho da dầu thôi, dầu mụn nên cân nhắc vì trong các bước chăm sóc có sd thuốc đặc trị mụn nên khi bôi kem cấp ẩm này lâu thấm cực kì, nếu có dùng thì chỉ dùng được buổi tối và bôi 1 lớp thật mỏng thôi. Tóm lại là da dầu mụn nên cân nhắc",15/07/2021,8:34,3,343700002
61,201,Sản phẩm tốt nhưng k có quà tặng. Làm mình tưởng có nên k mua btt.,18/06/2022,9:17,4,422204259
62,378,"Loại dành cho da thường đến da dầu nhưng rửa mặt xong sau khoảng 1h thì da mình vẫn lên dầu, nhiều hơn so với lúc trước dùng Cetaphil. Nhưng chai gần 500ml mà sử dụng trong tận 1 năm hơn là rất tiết kiệm và hợp lý luôn, trong khi Cetaphil có dung tích tương đương thì mình dùng trong khoảng 6 tháng.",31/05/2024,22:45,4,422208974
63,223,"Tẩy trang sạch, có lớp dầu giữ ẩm cho da, không bị khô da.",14/02/2022,20:59,5,205100136
64,1467,"dùng thấy hợp vs da mik, vs tạo bọt siêu thích, giá cũng ok",10/2/2022,7:41,5,204900004
65,1487,"Thật sự cực thích srm này , sẽ mua xài lâu dài Đã mua 2 lần rồi",10/1/2021,12:01,5,204900004
66,324,"mùi trái cây thơm nhẹ, tẩy da chết dịu nhẹ không làm khô da. giá cả hợp lý",12/9/2020,17:15,5,245500009
67,142,"da mình bị kích ứng với alcohol, nhưng dùng e tẩy trang này êm, tẩy trang chống nắng và lớp make up sạch và ko khô da",30/04/2023,12:02,5,422206648
68,2553,"Đã mua chai Pro Acne 5in1 này vài lần rồi, đóng gói kỹ và giao hàng nhanh, chỉ tiếc vừa rồi lỡ mất khung deal. Chất lượng thì không cần phải nói nhiều, da mụn và cần giải quyết các vấn đề liên quan tới dầu nhờn, thâm, lỗ chân lông thì phải dùng ngày chai này.",9/11/2020,16:19,5,204100018
69,1245,Bông tẩy trang này xài rất thích bông rất dai nên mua,11/6/2023,13:56,5,422212331
70,2336,"Sử dụng dễ giàng, rất thoải mái,thư giản tột độ.",2/5/2023,16:23,5,422205163
71,3362,"Em Vichy này dùng thích lám, mát da và cự kỳ thấm nhanh vào da cho cảm giác khô thoáng nhẹ tênh. Good",22/06/2019,10:13,5,201600019
72,2434,"Da mặt của mình rất nhạy cảm, nhưng thật may tìm được mask này cực hợp với da mình, mà thật tiếc là mask này hết hàng lâu quá, chờ đợi mãi vẫn chưa thấy mask này có hàng lại. Mong là Hasaki sẽ sớm sớm có lại mẫu mask này nhé!!!",27/02/2021,20:52,5,422205164
73,2523,"Môi mình đã giảm thâm rất nhiều, khi sử dụng sản phẩm này thời gian dài . Mình dùng cũng 5 năm r , và sẽ k thay đổi",20/08/2023,14:23,5,200500293
74,1282,mua đi mua lại mua mãi mua hoài không thôi 9/10nha máy chế,11/10/2021,9:44,5,422216603
75,742,Nói được tặng bông tẩy trang mà khi giao hàng không có tặng gì kể cả gel rửa mặt,16/09/2022,13:35,4,200400003
76,1370,"cấp ẩm ổn, những vết thâm mới thì làm mờ tốt, thâm cũ thì dùng hết 1 chai chưa thấy mờ",15/04/2023,16:18,3,318900002
77,384,"Mình đánh giá cao sản phẩm này, da mình siêu cấp nhạy cảm, mình ko dùng dc kcn của 1004 sau khi thoa gần như kích ứng ngay lập tức phải rửa mặt luôn nhưng sp này lại không hề mình đã thoa hết lọ trên nền da có mụn, lớp cuối ngày nhìn da mình đẹp hơn, để trong ngày rất ráo mặt ko vân kem ko dễ trôi nhưng nếu đi ra ngoài mồ hôi thì trôi sạch mình làm ở nhà nên ko ra ngoài ko đổ mồ hôi. Đúng là sp có mùi cồn làm cay mắt nhé nhưng mình vẫn ưng sp này vô cùng, làn da có mụn thì nên tẩy trang kỹ.100d",29/10/2023,9:58,5,422212097
78,1061,"Mình dùng chai nắp hồng nhe, dịu nhẹ lành tính oki lắm mng",15/08/2023,0:07,5,422204910
79,3533,"Mình bị viêm da tiết bã và mụn rosacea xài các sản phẩm skin1004 hầu như ko hợp, da của mình là hỗn hợp thiên khô đôi khi là khô. Dùng 1 mình chai này sau khi ms rửa mặt khi da còn 1 chút ẩm, thì mình vẫn bị kích ứng đỏ vào ngày hôm sau, có khi nổi vết ngứa li ti. Còn khi dùng chai này kết hợp vs kem dưỡng mỏng nhẹ như Cerave/Bioderma cicabio thì da khá ẩm nhưng vì kết hợp 2 sản phẩm nên chất bị dày, vì vậy cách này chỉ hợp cho bạn nào nằm máy lạnh. Tóm lại mình thấy chai này hợp vs các bạn da dầu, hỗn hợp thiên dầu. Còn xài 1 mình chai này mà ko có kết hợp vs sản phẩm khác thì chưa đủ, các bạn chỉ muon sd 1 sp r đi ngủ nên mua kem dưỡng ẩm khác",18/12/2022,12:22,4,422202629
80,469,mua kcn tặng 1 srm mini thời hạn đến khi nào vậy ạ,10/5/2023,13:14,5,204900013
81,1944,10₫,18/11/2023,15:41,5,422209262
82,306,Tẩy sạch giá lại phải chăng.,3/1/2021,10:11,4,205100146
83,421,"mình da hỗn hợp thiên dầu dùng ẻm xong kh hề bị khô căng da như những sp khác, dạng gel trong suốt mà bọt lên cũng kha khá đủ để massage mặt. Da mình mụn ẩn mà trộm vía dùng loại này kh bị đẩy mụn. Nói chung tuy giá hơi cao nhưng đáng mua nhé",14/11/2022,7:43,5,422208975
84,270,"đây là da mình sau hơn 1 tháng sd nha rất ok luôn thâm mờ hẳn, đỡ mụn viêm luôn các bạn nên kiên trì nha cứ sd mới 1 2 tuần mà muốn hết hẳn thì k đc đâu",27/03/2022,19:06,5,327500002
85,2382,"Sử dụng nhẹ nhàng , rất thoải mái , thư giãn tột độ",29/04/2023,12:40,5,308500015
86,1490,Rửa xong cảm giác rất sạch và nhẹ tênh. Trong quá trình rửa thì bọt rất mịn và thơm làm mình cực thích luôn <3,2/11/2020,11:57,5,204900056
87,2498,"Mùi hương dễ chịu, làm mát nhanh, giá thành ổn",3/5/2023,18:13,5,422206537
88,1972,"mát, dịu da, thích lắm, giá thích hợp cho sinh viên và nội trợ",20/07/2023,19:01,5,100150059
89,1348,"Xài 3 chai tinh chất màu tím giờ chuyển qua chai này, chất sửa màu hồng nhạt mùi thom dê chịu và mỏng nhẹ, k bị đổ dầu.",22/05/2021,13:24,5,422207414
90,1339,,16/12/2021,13:09,2,422210980
91,801,Quá ok,13/10/2020,19:19,5,100230064
92,679,"SỬ DỤNG DỄ DÀNG, RẤT THOẢI MÁI, THƯ GIÃN TỘT ĐỘ.",2/5/2023,10:00,5,422205164
93,138,Đắp 1 lần mê luôn phải mua lại á,2/7/2023,20:04,5,422205809
94,1394,"Mình da dầu mụn, mới mua xài thấy mát nhẹ mặt, cơ mà tối thoa sáng ngày mặt như chảo dầu. Mụn bị lên nhiều. Sau mới biết trong sp này có cồn nên ko hợp. :(",5/10/2021,12:11,3,422200305
95,350,dùng ổn k bị sơ,6/8/2022,14:11,5,422203301
96,715,Tốt,20/04/2023,10:06,5,200400004
97,1734,mùi dễ chịu và giảm mụn,20/11/2023,10:08,5,100220037
98,3854,"lọ nhỏ xíu mà giá đắt quá , mình dùng hết lọ rồi mà ko có hiệu quả . thất vọng quá",28/03/2022,14:56,1,100210020
99,2241,"Mình sd 1 lọ thử và trắng mịn lên từng ngày nha . Kiếm mãi mới có loại hợp do da mặt nhạy cảm , mua lọ thứ 2 rồi",10/10/2023,20:20,5,206400009
100,689,"Mui huong de chịu, lam mat nhanh , gia thành ổn",1/5/2023,9:30,5,204100019
101,140,"mình dùng hơn tháng r. Da mình đang treatment tretinoin nên rất khô và nhạy cảm, sd xịt khoáng này thấy ẩm hơn và dịu da hơn, sp ko chỉ có nc ko thôi mà còn các chất dịu da khác nữa nên mình rất ưng. Ngoài ra vòi xịt phun sương luôn nên thấm da rất nhanh ạ",13/12/2023,23:42,5,204100078
102,415,Tuyệt vời,15/03/2023,7:31,5,422208974
103,35,"Sản phẩm dùng rất hiệu quả,cực kì phù hợp cho các bạn,giá thành oke nên mua nha",17/04/2023,13:48,5,100230059
104,4319,sản phẩm lỏng như nước á. Đổ rahari cẩn thận. Chưa thấy hiệu quả trắng sáng,11/4/2020,17:53,4,223600032
105,403,Sản phẩm này dùng tốt,15/04/2023,20:27,5,422208972
106,616,"Với da mình thì nó chống nắng ổn, kháng bụi, không nặng mặt, thấm nhanh, không lên tông da,… trừ 1 sao là hương liệu hơi gắt không hợp với mình, nhưng vẫn sẽ mua thêm để sử dụng",27/03/2022,2:21,4,253900006
107,1162,"xài e này bth rất ok, finish đẹp nhma một hôm quên dưỡng ẩm là bị khô da bong tróc đồ luôn (nhẹ)",2/9/2023,17:31,4,422217292
108,2438,Mặt nạ xài rất tốt,8/11/2020,0:07,5,422205162
109,2466,"GIao hàng rất nhanh, sẽ quay lại review chất lượng sau :3",18/06/2019,16:19,5,422205160
110,236,đỉnh thật sự,30/11/2021,21:32,5,422204259
111,3338,"sữa chống nắng xài rất tốt, mỏng nhẹ thấm nhanh nhưng có mùi cồn",4/10/2019,19:19,4,223600010
112,1453,Mình da dầu. Srm rửa sạch sâu quá khô 2 bênh cánh mũi tróc da. Nguyên mặt căng,20/08/2022,11:48,3,204900159
113,2427,"Đắp vào các đốt mụn sưng giảm hẵn , sạch các sợi bã nhờn",2/6/2021,12:25,5,422202253
114,341,"Trong các loại tẩy trang mình từng dùng thì loại này để lại hậu cảm tốt nhất. Ý là sau khi dùng, nó để lại cảm giác rất tự nhiên, ko nhờn rít. Mùi hơi khó chịu, dù mình khá dễ tính với mùi, dùng lâu thì thấy okay, không khó chịu nữa. Mát, mịn, rẻ, hậu cảm tốt.",14/03/2020,15:54,5,422211446
115,1328,,26/07/2021,8:49,5,422211878
116,56,"cấp ẩm tốt, dịu nhẹ cho da nhạy cảm, ko mùi nên rất thích",1/8/2022,22:43,5,318900012
117,2456,"Mặt nạ đắp hiệu quả thiệt, mình được bà chị cho 1 miếng về đắp thử. Mới đắp 1 lần mà da đã trắng sáng trông thấy rõ luôn.",10/2/2020,16:15,5,308500013
118,966,"Da mình là da hỗn hợp dầu chữ T, khô 2 bên má, nhìn chung sản phẩm này dịu nhẹ và cấp ẩm tốt cho da mình nhé. Bình to dùng lâu hết, tuy nhiên cái vòi mỗi lần bơm dễ giăng ra nhiều hơn mức cần thiết",29/03/2023,15:47,5,357100004
119,2986,"Tiện lợi do có chai nhỏ dùng thử 15ml. Rất ok, da minh bị bong ngứa, mẫn đỏ do xài Retinol ko đủ ẩm, sau khi xài kem này 2 ngày thấy đỡ rất nhiều. ai bị nên dùng thử nhé. Bé nv tư vấn rất tốt nhiệt tình. cảm ơn e",7/8/2023,16:06,5,422200342
120,1711,"BHA này xài rất êm, ko có cảm giác châm chích hay khô rát. Da bạn nào khô sẽ rất thích sản phẩm này vì sau khi bôi xong da sẽ hơi có cảm giác dầu trên da. Sáng dậy rửa mặt da rất mướt và mọng ko bị khô. Dùng kiên trì sẽ giảm đc mụn và làm sạch lỗ chân lông.",6/5/2024,7:14,5,100220035
121,2749,Da dâu sai khá thích ko bị khô da sẽ dùng tiếp,13/10/2022,20:51,5,331300002
122,676,"Giao hàng nhanh, nhưng sản phẩm không khác nhiều so với loại khác.",17/01/2023,16:16,3,226200018
123,1495,Tốt,30/04/2020,20:11,5,204900159
124,235,,7/12/2021,0:19,5,422206648
125,2753,"tốt nha, mỏng mịn nhanh thấm và chống nắng cao",11/6/2022,12:45,5,422211276
126,704,Mình rất thích Hasaki và sản phẩm tẩy trang này,28/04/2023,18:42,5,100230057
127,2140,hôm qua 20/2 mình có mua sp này bên shop. mình yên tâm chỉ kiếm tra số lượng theo đơn hàng rồi mới nhận hàng. nhưng khi về khui ra mới thấy hộp không có tem mác gì cả . như có dấu hiệu ai đã khui trước đó. mình có nhắn tin hỏi shop nhưng mà k nhận dc phản hồi. mình đã mua rồi thì dùng thôi nhưng thấy lo lo vì k biết bên trong sp có vấn đề gì ko. hơi thất vọng...,21/02/2024,8:23,4,422209841
128,404,Dfhscvhhf,9/4/2023,21:46,4,200400003
129,2796,"Bác sĩ khoa thẩm mĩ da BV đã liễu TP HCM cho bôi kem này khi lazer , dịu nhẹ tức thì, rất hiệu quả.",24/09/2024,15:13,5,100180113
130,253,"Ko đọc kỹ phần chữ nhỏ là chai tảy trang nhỏ kia chỉ đc tặng ở TP HCM . Nói chung mua hàng ở hasaki cũng lâu giá cả hợp lý , hàng chính hãng cũng yên tâm",12/8/2021,8:37,4,205100146
131,691,"MÙI HƯƠNG DỄ CHỊU, LÀM MÁT NHANH, GIÁ THÀNH ỔN.",30/04/2023,16:45,5,204100054
132,701,Mình rất thích Hasaki và sản phẩm tẩy trang này.,29/04/2023,18:34,5,100230064
133,1220,em nghĩ shop nên lấy loại lớn này,25/10/2020,13:38,5,422217292
134,2195,Không có tặng kèm bông tẩy trang,23/08/2022,7:32,4,249500028
135,4038,"dùg đc mà miếng mask hơi dão, ko ôm khuôn mặt. kim cương và ngọc trai dùg thích nhất",19/01/2021,0:34,5,365000013
136,2308,"rât hợp vs da dầu mụn ạ,",2/8/2024,21:59,5,422205164
137,2385,"Mùi hương dễ chịu, làm mát nhanh , giá thành ổn",29/04/2023,11:21,3,204100019
138,2327,"Mùi hương dễ chịu, lành tính . Giá thành lại rẻ nữa ạ",3/5/2023,17:48,5,204100019
139,145,Sap phẩm tốt vừa túi tiền dung lại rất hiệu quả ạ,19/04/2023,20:48,5,422211446
140,2891,"Hồi dùng chai đầu tiên thấy bình thường, từ khi kết hợp thêm viên uống vs nước thần của hãng này vào. Đi đâu ai cũng khen da trắng lên hẳn. Trong khi ngày xưa nhìn như mỹ da đen dị đó. Chân ái của đời tui",8/1/2021,8:23,5,358300002
141,35,Sản phẩm này qá ok . Nên mua ạ sử dụng thích lắm,17/04/2023,13:44,5,318900011
142,3972,"đúng là chân ái. tạo bọt sạch mà còn giữ ẩm rất tốt . nhưng trước khi rửa nên tẩy trang kĩ thì mới cảm nhận được tác dụng của srm, 1 dòng dược mỹ phẩm nên dùng đáng đồng tiền",29/10/2022,21:52,5,331300002
143,162,"hàng tốt, nâng tone, nhưng giá hơi cao",9/1/2021,6:40,3,248700035
144,1144,"Không biết dùng tới chai thứ mấy rồi. Loại SRM này rất dịu nhẹ không gây kích ứng da, rất phù hợp với da nhạy cảm và dầu mụn như mình, 1 ngày mình rửa 3-4 lần luôn mà không bị khô hay kích ứng gì. Vừa rồi đổi loại SRM hãng khác thì da lại nổi mụn viêm đỏ khá nhiều. Giờ phải quay lại với Cetaphil",7/8/2023,14:20,5,422218629
145,672,"Sử dụng dễ dàng , rất thoải mái , thư giãn tột độ",4/5/2023,16:47,5,308500004
146,171,"Đây là loại serum dạng dầu, dùng sau mà k rửa mặt sẽ hơi dính.",18/11/2022,0:24,4,422206648
147,2665,Bông quá tệ bụi quá gĩu ra bông bay ra,10/4/2022,12:23,1,243300007
148,269,,1/7/2021,18:27,5,422203807
149,3317,"Sản phẩm kém bền, chỉ dùng được một lần rồi hỏng.",12/11/2021,10:02,1,308500037
150,562,"Xài ok nhe Xài cả ngày ko bị dầu , mặt mũi cũng ko bị bóng mấy . Cách bôi thì mỗi lần lấy 1 chút rồi tán đều lên mặt , như vậy kem sẽ đều và không bị vón cục nha.",20/04/2021,11:08,5,204900013
151,745,"Trên app để tặng bông tẩy trang, mà đặt thì lại ko thấy tặng",29/08/2022,8:59,5,200400004
152,3342,"mask xài thích, mát ban đầu hơi châm chích một lúc thì hết, da dịu mấy nốt mụn nhỏ cũng xẹp hơn. nói chung là ưnggg lắmmmmmmmm, cái này bỏ tủ lạnh xài thích hơn nữa",14/08/2020,13:40,5,308100018
153,3684,Khá hài lòng,17/03/2022,11:49,5,226200017
154,205,"mình dùng tới chai thứ 3 rồi, cảm thấy rất ổn nhưng sau mỗi lần dùng có lớp bóng nhẹ nên mn dùng srm lại là oke nha",19/05/2022,23:21,5,422211446
155,680,Ok,30/04/2023,14:33,5,308500013
156,256,"Em này đỉnh thiệt! Tẩy trang dịu nhẹ, sạch bụi bẩn luôn nè",27/12/2022,18:58,5,200400004
157,1074,"Em này tẩy trang sạch cực kỳ, nhưng mà mình da nhạy cảm thiên dầu, dùng bị đỏ da với kích ứng.",18/12/2022,18:50,5,422201504
158,1292,"Sản phẩm tốt, dịu nhẹ, bọt mịn, dùng xong mặt rất ẩm không hề bị khô hay gì hết",15/05/2019,11:49,5,204900056
159,2431,"thơm nhẹ, mượt, mịn!",26/04/2021,19:37,5,308500004
160,2105,rửa mặt sạch ko bị khô da,24/06/2021,5:49,5,422211501
161,3737,,17/12/2020,10:57,5,377400001
162,2453,ok,30/03/2020,0:37,5,308500018
163,1428,Da mình đã hết mụn sau khi chuyển qua sd srm này,6/1/2021,17:24,5,422217029
164,695,"Sử dụng dễ dàng, rất thoải mái, thư giản tột độ",29/04/2023,11:43,5,308500009
165,3116,nước tẩy trang vừa rẻ lại ok nha mọi người,7/2/2024,11:07,5,223600035
166,1492,dùng tôt,16/10/2020,10:37,5,100230069
167,3015,Phải lm sao để đc giảm 40k ạ. E cảm ơn,15/12/2016,12:33,5,100150066
168,792,"Thấy rát da, cũng sạch nhưng không thích lắm, hơi rít, da nhạy cảm sẽ không ưng đâu",4/4/2021,1:56,3,355500010
